X,Y,Z,azimuth,dip,polarity,G_x,G_y,G_z,formation,uncertainty
791518.332,6350306.823,388.188001,245.0,10.0,1,-0.15737869562326268,-0.07338689099903818,0.9848077530132081,Triassic,a
791628.975,6350189.119,413.81195,290.0,30.0,1,-0.4698463103919541,0.17101007166383447,0.8660254037854387,Triassic,a
791633.412,6350145.259,420.170137,270.0,35.0,1,-0.5735764363500461,9.998946357179734e-13,0.8191520442899918,Triassic,a
791621.056071,6350388.188026,359.320303,78.0,23.0,1,0.3821927158647954,0.08123756958033614,0.9205048534534404,Triassic,a
791543.677242,6350351.93502,373.222496,260.0,30.0,1,-0.49240387650510403,-0.08682408883246515,0.8660254037854387,Triassic,a
791676.515,6350202.882,385.826764,248.0,20.0,1,-0.31711555482717857,-0.1281230007698508,0.9396926207869084,Triassic,a
791715.383019,6350132.549471,380.513222,320.0,25.0,1,-0.2716537822731845,0.3237443709680645,0.90630778703765,Triassic,a
791826.927,6350176.4229999995,360.567437,40.0,15.0,1,0.1663656753438019,0.19826689127514616,0.9659258262900684,Triassic,a
783612.454,6346978.227000001,424.59765,325.0,5.0,1,-0.049990480331730335,0.07139380484426965,0.9961946980927456,Triassic,a
783733.692,6347115.387999999,419.114103,165.0,10.0,1,0.044943455528547824,-0.1677312594955206,0.9848077530132081,Triassic,a
783843.932,6347237.961,401.725321,170.0,26.0,1,0.07612235078268569,-0.43171130405373614,0.898794046300167,Triassic,a
783562.913,6347098.68,391.139052,160.0,10.0,1,0.059391174614884724,-0.1631759111655348,0.9848077530132081,Triassic,a
783069.2209999999,6347088.826,342.934065,152.0,18.0,1,0.14507469127760536,-0.2728458113348604,0.9510565162961536,Triassic,a
782951.8420000001,6347021.727999999,325.077232,160.0,26.0,1,0.14993176245563808,-0.41193413180215227,0.898794046300167,Triassic,a
782996.1529999999,6347115.642000001,318.369324,164.0,20.0,1,0.09427352794343842,-0.32877086301729924,0.9396926207869084,Triassic,a
783091.0229999999,6347253.554,304.511132,220.0,30.0,1,-0.3213938048422696,-0.383022221558489,0.8660254037854387,Triassic,a
783159.187,6347295.562999999,301.240986,144.0,10.0,1,0.10206783792108487,-0.14048432677378686,0.9848077530132081,Triassic,a
783244.582,6347303.356000001,285.911443,210.0,25.0,1,-0.21130913086934974,-0.3659981507696668,0.90630778703765,Triassic,a
782155.9079999999,6347762.405,383.456519,176.0,20.0,1,0.023858119148859058,-0.3411869994453997,0.9396926207869084,Triassic,a
781597.13,6346858.507999999,202.295178,58.0,22.0,1,0.3176844083550085,0.19851125036086745,0.9271838545677874,Triassic,a
781733.7,6346555.8379999995,201.474636,58.0,28.0,1,0.3981344650211568,0.2487820251309121,0.882947592859927,Triassic,a
781777.522,6346504.185,202.248146,68.0,20.0,1,0.3171155548291786,0.1281230007718507,0.9396926207869084,Triassic,a
782025.859,6345842.977000001,204.03094,238.0,14.0,1,-0.20516140298085184,-0.12819907291707816,0.9702957262769965,Triassic,a
